stamp,key_id,long_dis,long_vel,lat_dis,lat_vel,left_line_dis,right_line_dis,ttc,Key_left_line_dis,Key_right_line_dis,CIPV_Speed
1594627302544,061ba28a-7ae2-444e-a441-87ffc9ae99f9,68.729,10.54157,3.052659E-05,0,1.975,1.675,6.519808,2.025,1.725,0.5680907
1594627302571,061ba28a-7ae2-444e-a441-87ffc9ae99f9,68.1968,10.51976,3.037911E-05,0,1.975,1.675,6.482733,2.025,1.725,0.5832868
1594627302594,061ba28a-7ae2-444e-a441-87ffc9ae99f9,67.77675,10.49162,3.026252E-05,0,1.975,1.675,6.460085,2.025,1.725,0.6029784
1594627302619,061ba28a-7ae2-444e-a441-87ffc9ae99f9,67.36394,10.46344,3.014541E-05,0,1.975,1.675,6.438027,2.025,1.725,0.6210794
1594627302642,061ba28a-7ae2-444e-a441-87ffc9ae99f9,66.94601,10.43934,3.002977E-05,0,1.975,1.675,6.41286,2.025,1.725,0.6346166
1594627302665,061ba28a-7ae2-444e-a441-87ffc9ae99f9,66.63314,10.42175,2.994375E-05,0,1.975,1.675,6.393664,2.025,1.725,0.6442159
1594627302689,061ba28a-7ae2-444e-a441-87ffc9ae99f9,66.21669,10.39994,2.98269E-05,0,1.975,1.675,6.367023,2.025,1.725,0.6554329
1594627302712,061ba28a-7ae2-444e-a441-87ffc9ae99f9,65.80106,10.3863,2.971226E-05,0,1.974999,1.675001,6.335367,2.025,1.725,0.6586804
1594627302737,061ba28a-7ae2-444e-a441-87ffc9ae99f9,65.48985,10.37412,2.962512E-05,0,1.974999,1.675001,6.312812,2.025,1.725,0.6632599
1594627302760,061ba28a-7ae2-444e-a441-87ffc9ae99f9,65.07556,10.33263,2.950922E-05,0,1.974999,1.675001,6.298061,2.025,1.725,0.6949538
1594627302783,061ba28a-7ae2-444e-a441-87ffc9ae99f9,64.7653,10.32997,2.942249E-05,0,1.974999,1.675001,6.26965,2.025,1.725,0.6905314
1594627302827,061ba28a-7ae2-444e-a441-87ffc9ae99f9,64.24918,10.32672,2.927838E-05,0,1.974999,1.675001,6.221646,2.025,1.725,0.6824408
1594627302852,061ba28a-7ae2-444e-a441-87ffc9ae99f9,63.94007,10.28776,2.919217E-05,0,1.974999,1.675001,6.215157,2.025,1.725,0.7148642
1594627302875,061ba28a-7ae2-444e-a441-87ffc9ae99f9,63.41851,10.27694,2.904752E-05,0,1.974999,1.675001,6.170954,2.025,1.725,0.7152624
1594627302899,061ba28a-7ae2-444e-a441-87ffc9ae99f9,63.11745,10.26637,2.896299E-05,0,1.974999,1.675001,6.14798,2.025,1.725,0.7198433
1594627302922,061ba28a-7ae2-444e-a441-87ffc9ae99f9,62.70705,10.25215,2.884881E-05,0,1.974999,1.675001,6.116477,2.025,1.725,0.726393
1594627302947,061ba28a-7ae2-444e-a441-87ffc9ae99f9,62.29723,10.23782,2.873488E-05,0,1.974999,1.675001,6.085012,2.025,1.725,0.7334164
1594627302974,061ba28a-7ae2-444e-a441-87ffc9ae99f9,61.88797,10.22291,2.86212E-05,0,1.974999,1.675001,6.05385,2.025,1.725,0.7413577
1594627302997,061ba28a-7ae2-444e-a441-87ffc9ae99f9,61.47921,10.20794,2.850774E-05,0,1.974999,1.675001,6.022686,2.025,1.725,0.7497123
1594627303020,061ba28a-7ae2-444e-a441-87ffc9ae99f9,61.07094,10.19464,2.839263E-05,0,1.974999,1.675001,5.990495,2.025,1.725,0.7567285
1594627303044,061ba28a-7ae2-444e-a441-87ffc9ae99f9,60.66314,10.18368,2.82796E-05,0,1.974999,1.675001,5.956896,2.025,1.725,0.7617425
1594627303071,061ba28a-7ae2-444e-a441-87ffc9ae99f9,60.56114,10.1925,2.825132E-05,0,1.974999,1.675002,5.941737,2.025,1.725,0.7515181
1594627303094,061ba28a-7ae2-444e-a441-87ffc9ae99f9,60.24804,10.18535,2.816334E-05,0,1.974998,1.675002,5.915169,2.025,1.725,0.7548669
1594627303117,061ba28a-7ae2-444e-a441-87ffc9ae99f9,59.84877,10.16696,2.805221E-05,0,1.974998,1.675002,5.886595,2.025,1.725,0.7692512
1594627303142,061ba28a-7ae2-444e-a441-87ffc9ae99f9,59.54362,10.16642,2.796588E-05,0,1.974998,1.675002,5.856893,2.025,1.725,0.7674136
1594627303165,061ba28a-7ae2-444e-a441-87ffc9ae99f9,59.23889,10.15697,2.788159E-05,0,1.974998,1.675002,5.832341,2.025,1.725,0.7747154
1594627303189,061ba28a-7ae2-444e-a441-87ffc9ae99f9,59.03573,10.15374,2.78254E-05,0,1.974998,1.675002,5.814184,2.025,1.725,0.7769132
1594627303214,061ba28a-7ae2-444e-a441-87ffc9ae99f9,58.83265,10.15087,2.776924E-05,0,1.974998,1.675002,5.795824,2.025,1.725,0.7792265
1594627303238,061ba28a-7ae2-444e-a441-87ffc9ae99f9,58.6296,10.14854,2.771124E-05,0,1.974998,1.675002,5.777148,2.025,1.725,0.7815571
1594627303263,061ba28a-7ae2-444e-a441-87ffc9ae99f9,58.22361,10.14562,2.760086E-05,0,1.974998,1.675002,5.738795,2.025,1.725,0.7861371
1594627303286,061ba28a-7ae2-444e-a441-87ffc9ae99f9,57.81768,10.14488,2.748679E-05,0,1.974998,1.675002,5.699197,2.025,1.725,0.7904055
1594627303312,061ba28a-7ae2-444e-a441-87ffc9ae99f9,57.61471,10.1452,2.742882E-05,0,1.974998,1.675002,5.67901,2.025,1.725,0.7923731
1594627303337,061ba28a-7ae2-444e-a441-87ffc9ae99f9,57.41173,10.1459,2.737271E-05,0,1.974998,1.675002,5.658612,2.025,1.725,0.7942249
1594627303361,061ba28a-7ae2-444e-a441-87ffc9ae99f9,57.10712,10.15014,2.728848E-05,0,1.974998,1.675002,5.626242,2.025,1.725,0.7941967
1594627303386,061ba28a-7ae2-444e-a441-87ffc9ae99f9,56.9041,10.15087,2.723235E-05,0,1.974998,1.675002,5.605833,2.025,1.725,0.7964515
1594627303409,061ba28a-7ae2-444e-a441-87ffc9ae99f9,56.49801,10.15199,2.711821E-05,0,1.974998,1.675002,5.565217,2.025,1.725,0.8016542
1594627303432,061ba28a-7ae2-444e-a441-87ffc9ae99f9,56.09182,10.1509,2.700588E-05,0,1.974998,1.675002,5.525798,2.025,1.725,0.8092975
1594627303456,061ba28a-7ae2-444e-a441-87ffc9ae99f9,55.68552,10.14869,2.689165E-05,0,1.974998,1.675002,5.486967,2.025,1.725,0.8181916
1594627303481,061ba28a-7ae2-444e-a441-87ffc9ae99f9,55.38081,10.17488,2.680737E-05,0,1.974998,1.675002,5.442896,2.025,1.725,0.7970555
1594627303505,061ba28a-7ae2-444e-a441-87ffc9ae99f9,55.07587,10.14564,2.6723E-05,0,1.974998,1.675002,5.428525,2.025,1.725,0.8313424
1594627303528,061ba28a-7ae2-444e-a441-87ffc9ae99f9,54.66929,10.14856,2.660864E-05,0,1.974998,1.675002,5.386903,2.025,1.725,0.8351161
1594627303553,061ba28a-7ae2-444e-a441-87ffc9ae99f9,54.46595,10.15298,2.655236E-05,0,1.974998,1.675003,5.364529,2.025,1.725,0.8340019
1594627303577,061ba28a-7ae2-444e-a441-87ffc9ae99f9,54.26258,10.1584,2.649608E-05,0,1.974997,1.675003,5.341645,2.025,1.725,0.8318579
