stamp,key_id,long_dis,long_vel,lat_dis,lat_vel,left_line_dis,right_line_dis,ttc,Key_left_line_dis,Key_right_line_dis,CIPV_Speed
1594866985693,c135bb05-0bd7-4660-80c4-5ec4cbd8b41e,38.81012,0.000667572,1.725615E-05,0,1.975,1.675,58136.22,2.025,1.725,8.332211
1594866985718,c135bb05-0bd7-4660-80c4-5ec4cbd8b41e,38.81005,0.005552292,1.725612E-05,0,1.975,1.675,6989.915,2.025,1.725,8.325527
1594866985743,c135bb05-0bd7-4660-80c4-5ec4cbd8b41e,38.8099,0.007910728,1.725606E-05,0,1.975,1.675,4905.983,2.025,1.725,8.320414
1594866985767,c135bb05-0bd7-4660-80c4-5ec4cbd8b41e,38.80959,0.01054573,1.725592E-05,0,1.975,1.675,3680.123,2.025,1.725,8.311252
1594866985791,c135bb05-0bd7-4660-80c4-5ec4cbd8b41e,38.80924,0.01164246,1.725576E-05,0,1.975,1.675,3333.424,2.025,1.725,8.301393
1594866985815,c135bb05-0bd7-4660-80c4-5ec4cbd8b41e,38.80873,0.01262569,1.725554E-05,0,1.975,1.675,3073.79,2.025,1.725,8.286743
1594866985839,c135bb05-0bd7-4660-80c4-5ec4cbd8b41e,38.89103,0.01854706,1.727885E-05,0,1.975,1.675,2096.884,2.025,1.725,8.269924
1594866985863,c135bb05-0bd7-4660-80c4-5ec4cbd8b41e,38.80769,0.01813316,1.725695E-05,0,1.975,1.675,2140.15,2.025,1.725,8.255624
1594866985889,c135bb05-0bd7-4660-80c4-5ec4cbd8b41e,38.80682,0.02533817,1.725656E-05,0,1.975,1.675,1531.556,2.025,1.725,8.233855
1594866985913,c135bb05-0bd7-4660-80c4-5ec4cbd8b41e,38.80592,0.03339291,1.72543E-05,0,1.975,1.675,1162.101,2.025,1.725,8.215092
1594866985937,c135bb05-0bd7-4660-80c4-5ec4cbd8b41e,38.80517,0.0402441,1.725583E-05,0,1.975,1.675,964.2449,2.025,1.725,8.201225
1594866985960,c135bb05-0bd7-4660-80c4-5ec4cbd8b41e,38.80316,0.05806637,1.725494E-05,0,1.975,1.675,668.2553,2.025,1.725001,8.169698
1594866985984,c135bb05-0bd7-4660-80c4-5ec4cbd8b41e,38.80028,0.08228493,1.725367E-05,0,1.975,1.675001,471.5357,2.025,1.725001,8.132229
1594866986008,c135bb05-0bd7-4660-80c4-5ec4cbd8b41e,38.79738,0.1052341,1.725239E-05,0,1.974999,1.675001,368.6768,2.024999,1.725001,8.099647
1594866986032,c135bb05-0bd7-4660-80c4-5ec4cbd8b41e,38.7923,0.1407871,1.725201E-05,0,1.974999,1.675001,275.5387,2.024999,1.725001,8.05166
1594866986057,c135bb05-0bd7-4660-80c4-5ec4cbd8b41e,38.78761,0.1616268,1.724994E-05,0,1.974999,1.675001,239.9825,2.024999,1.725001,8.021803
