stamp,key_id,long_dis,long_vel,lat_dis,lat_vel,left_line_dis,right_line_dis,ttc,Key_left_line_dis,Key_right_line_dis,CIPV_Speed
1594692756967,31bf20a0-117a-45ba-8453-edb800b24b17,13.93872,-0.001415576,0.1692098,0.04216694,2.277078,2.185422,-9846.681,2.3,2.2,2.777399
1594692756991,31bf20a0-117a-45ba-8453-edb800b24b17,13.93898,-0.01269776,0.170481,0.04213626,2.275817,2.186683,-1097.751,2.3,2.2,2.77528
1594692757015,31bf20a0-117a-45ba-8453-edb800b24b17,13.93933,-0.0190204,0.1713306,0.04210167,2.274979,2.187521,-732.8623,2.3,2.2,2.772905
1594692757039,31bf20a0-117a-45ba-8453-edb800b24b17,13.94011,-0.02873775,0.1726008,0.04202133,2.273726,2.188773,-485.0801,2.3,2.2,2.767516
1594692757062,31bf20a0-117a-45ba-8453-edb800b24b17,13.9408,-0.03549098,0.1734476,0.04195342,2.272896,2.189604,-392.7984,2.3,2.2,2.762947
1594692757085,31bf20a0-117a-45ba-8453-edb800b24b17,13.94163,-0.04287729,0.1742857,0.04187803,2.272071,2.190429,-325.1518,2.3,2.2,2.757982
1594692757108,31bf20a0-117a-45ba-8453-edb800b24b17,13.94261,-0.05074377,0.175127,0.04179989,2.27125,2.19125,-274.7649,2.3,2.2,2.752739
1594692757131,31bf20a0-117a-45ba-8453-edb800b24b17,13.94438,-0.06308936,0.1763682,0.04167208,2.27003,2.19247,-221.0259,2.3,2.2,2.744418
1594692757156,31bf20a0-117a-45ba-8453-edb800b24b17,13.94577,-0.07056922,0.1771902,0.04158352,2.269223,2.193276,-197.6184,2.3,2.2,2.738683
1594692757178,31bf20a0-117a-45ba-8453-edb800b24b17,13.94727,-0.07538697,0.1779968,0.04149099,2.268422,2.194078,-185.009,2.3,2.2,2.732876
1594692757203,31bf20a0-117a-45ba-8453-edb800b24b17,13.94805,-0.07712518,0.1783961,0.04144388,2.268023,2.194477,-180.8495,2.3,2.2,2.729965
1594692757248,31bf20a0-117a-45ba-8453-edb800b24b17,13.94963,-0.07863037,0.1791927,0.04134943,2.267226,2.195274,-177.4077,2.3,2.2,2.724125
1594692757271,31bf20a0-117a-45ba-8453-edb800b24b17,13.92479,-0.07829914,0.1799463,0.0412468,2.266037,2.196463,-177.8409,2.3,2.2,2.718318
1594692757294,31bf20a0-117a-45ba-8453-edb800b24b17,13.95338,-0.07063393,0.18113,0.0411058,2.265245,2.197255,-197.545,2.3,2.2,2.709691
1594692757317,31bf20a0-117a-45ba-8453-edb800b24b17,13.92826,-0.0635419,0.1818644,0.04100263,2.264059,2.198441,-219.198,2.3,2.2,2.704029
1594692757340,31bf20a0-117a-45ba-8453-edb800b24b17,13.95631,-0.04991361,0.183029,0.04086378,2.263267,2.199234,-279.6093,2.3,2.2,2.695724
1594692757362,31bf20a0-117a-45ba-8453-edb800b24b17,13.95707,-0.03592162,0.1837884,0.0407705,2.262471,2.200029,-388.5424,2.3,2.2,2.690327
1594692757386,31bf20a0-117a-45ba-8453-edb800b24b17,13.95757,-0.009133573,0.184931,0.0406354,2.261271,2.201229,-1528.161,2.3,2.2,2.682449
1594692757409,31bf20a0-117a-45ba-8453-edb800b24b17,13.9574,0.01107383,0.1856997,0.04054965,2.260464,2.202036,1260.395,2.3,2.2,2.677353
1594692757432,31bf20a0-117a-45ba-8453-edb800b24b17,13.95633,0.04506771,0.186851,0.04042479,2.259243,2.203257,309.6747,2.3,2.2,2.669954
1594692757456,31bf20a0-117a-45ba-8453-edb800b24b17,13.9275,0.0811317,0.1876269,0.04034692,2.258008,2.204493,171.6654,2.3,2.2,2.665186
1594692757479,31bf20a0-117a-45ba-8453-edb800b24b17,13.95315,0.09721389,0.1884193,0.04027396,2.257592,2.204908,143.5304,2.3,2.2,2.660554
1594692757524,31bf20a0-117a-45ba-8453-edb800b24b17,13.95075,0.1260796,0.1892154,0.04020444,2.256753,2.205747,110.6503,2.3,2.2,2.656054
1594692757546,31bf20a0-117a-45ba-8453-edb800b24b17,13.94775,0.1565824,0.1900118,0.04013693,2.255906,2.206594,89.07611,2.3,2.2,2.651688
1594692757571,31bf20a0-117a-45ba-8453-edb800b24b17,13.94603,0.1724413,0.1904139,0.04010465,2.255478,2.207022,80.87407,2.3,2.2,2.649556
1594692757594,31bf20a0-117a-45ba-8453-edb800b24b17,13.93987,0.2221609,0.1916457,0.04001681,2.254176,2.208324,62.74671,2.3,2.2,2.64338
1594692757618,31bf20a0-117a-45ba-8453-edb800b24b17,13.9322,0.2746097,0.1929087,0.03994061,2.252845,2.209655,50.73457,2.3,2.2,2.637604
1594692757641,31bf20a0-117a-45ba-8453-edb800b24b17,13.92622,0.3108338,0.1937784,0.03989798,2.251938,2.210562,44.80277,2.3,2.2,2.633955
1594692757663,31bf20a0-117a-45ba-8453-edb800b24b17,13.91589,0.3667431,0.19514,0.03984868,2.250544,2.211956,37.94452,2.3,2.2,2.62876
1594692757687,31bf20a0-117a-45ba-8453-edb800b24b17,13.90808,0.4048856,0.1961048,0.03982959,2.249591,2.212909,34.35063,2.299999,2.200001,2.625471
1594692757710,31bf20a0-117a-45ba-8453-edb800b24b17,13.89494,0.4630847,0.197648,0.03982273,2.24812,2.21438,30.00519,2.3,2.2,2.620786
1594692757735,31bf20a0-117a-45ba-8453-edb800b24b17,13.8539,0.5207937,0.1989251,0.03986691,2.246595,2.215905,26.60152,2.3,2.2,2.617822
