stamp,key_id,long_dis,long_vel,lat_dis,lat_vel,left_line_dis,right_line_dis,ttc,Key_left_line_dis,Key_right_line_dis,CIPV_Speed
1594626429445,c135bb05-0bd7-4660-80c4-5ec4cbd8b41e,18.94,0.000667572,8.481165E-06,0,1.975,1.675,28371.47,2.025,1.725,8.332211
1594626429469,c135bb05-0bd7-4660-80c4-5ec4cbd8b41e,18.93986,0.006712914,8.481104E-06,0,1.975,1.675,2821.407,2.025,1.725,8.323137
1594626429493,c135bb05-0bd7-4660-80c4-5ec4cbd8b41e,18.93969,0.009163857,8.48289E-06,0,1.975,1.675,2066.781,2.025,1.725,8.317273
1594626429517,c135bb05-0bd7-4660-80c4-5ec4cbd8b41e,18.93936,0.0110178,8.482745E-06,0,1.975,1.675,1718.978,2.025,1.725,8.308066
1594626429541,c135bb05-0bd7-4660-80c4-5ec4cbd8b41e,18.939,0.01185226,8.480722E-06,0,1.975,1.675,1597.922,2.025,1.725,8.297919
1594626429564,c135bb05-0bd7-4660-80c4-5ec4cbd8b41e,18.93849,0.01301003,8.480499E-06,0,1.975,1.675,1455.684,2.025,1.725,8.282759
1594626429588,c135bb05-0bd7-4660-80c4-5ec4cbd8b41e,18.93791,0.01578331,8.480245E-06,0,1.975,1.675,1199.87,2.025,1.725,8.26533
1594626429613,c135bb05-0bd7-4660-80c4-5ec4cbd8b41e,18.93738,0.01959801,8.48001E-06,0,1.975,1.675,966.2913,2.025,1.725,8.250494
1594626429636,c135bb05-0bd7-4660-80c4-5ec4cbd8b41e,18.93643,0.0277462,8.481453E-06,0,1.975,1.675,682.4874,2.025,1.725,8.227854
1594626429661,c135bb05-0bd7-4660-80c4-5ec4cbd8b41e,18.93505,0.0402441,8.480843E-06,0,1.975,1.675,470.505,2.025,1.725,8.201225
1594626429684,c135bb05-0bd7-4660-80c4-5ec4cbd8b41e,18.93361,0.05305386,8.478346E-06,0,1.975,1.675,356.8754,2.025,1.725001,8.178095
1594626429749,c135bb05-0bd7-4660-80c4-5ec4cbd8b41e,18.93173,0.06930828,8.479375E-06,0,1.975,1.675,273.1524,2.025,1.725001,8.151773
1594626429772,c135bb05-0bd7-4660-80c4-5ec4cbd8b41e,18.92927,0.08945274,8.480153E-06,0,1.974999,1.675001,211.612,2.025,1.725001,8.12182
1594626429797,c135bb05-0bd7-4660-80c4-5ec4cbd8b41e,18.92491,0.1228189,8.476363E-06,0,1.974999,1.675001,154.0878,2.024999,1.725001,8.075786
1594626429820,c135bb05-0bd7-4660-80c4-5ec4cbd8b41e,18.92069,0.1491938,8.476365E-06,0,1.974999,1.675001,126.8196,2.024999,1.725001,8.040218
1594626429845,c135bb05-0bd7-4660-80c4-5ec4cbd8b41e,18.91582,0.1663227,8.474212E-06,0,1.974999,1.675001,113.7296,2.024999,1.725001,8.01416
1594626429868,c135bb05-0bd7-4660-80c4-5ec4cbd8b41e,18.91238,0.1712084,8.474556E-06,0,1.974999,1.675001,110.4641,2.024999,1.725001,8.003468
1594626429891,c135bb05-0bd7-4660-80c4-5ec4cbd8b41e,18.90721,0.1708965,8.472274E-06,0,1.974999,1.675001,110.6354,2.024999,1.725001,7.995289
1594626429918,c135bb05-0bd7-4660-80c4-5ec4cbd8b41e,18.9006,0.1636729,8.471217E-06,0,1.974999,1.675001,115.4779,2.024999,1.725001,7.991597
1594626429941,c135bb05-0bd7-4660-80c4-5ec4cbd8b41e,18.89593,0.1571622,8.469153E-06,0,1.974999,1.675001,120.232,2.024999,1.725001,7.990224
