stamp,key_id,long_dis,long_vel,lat_dis,lat_vel,left_line_dis,right_line_dis,ttc,Key_left_line_dis,Key_right_line_dis,CIPV_Speed
1594627852453,None,99999,99999,99999,99999,1.975,1.675,99999,99999,99999,99999
1594627852476,None,99999,99999,99999,99999,1.975,1.675,99999,99999,99999,99999
1594627852500,None,99999,99999,99999,99999,1.975,1.675,99999,99999,99999,99999
1594627852524,None,99999,99999,99999,99999,1.975,1.675,99999,99999,99999,99999
1594627852548,None,99999,99999,99999,99999,1.975,1.675,99999,99999,99999,99999
1594627852571,None,99999,99999,99999,99999,1.975,1.675,99999,99999,99999,99999
1594627852594,None,99999,99999,99999,99999,1.975,1.675,99999,99999,99999,99999
1594627852618,None,99999,99999,99999,99999,1.975,1.675,99999,99999,99999,99999
1594627852643,None,99999,99999,99999,99999,1.975,1.675,99999,99999,99999,99999
1594627852666,None,99999,99999,99999,99999,1.974999,1.675001,99999,99999,99999,99999
1594627852689,None,99999,99999,99999,99999,1.974999,1.675001,99999,99999,99999,99999
1594627852712,None,99999,99999,99999,99999,1.974999,1.675001,99999,99999,99999,99999
1594627852735,None,99999,99999,99999,99999,1.974999,1.675001,99999,99999,99999,99999
1594627852759,None,99999,99999,99999,99999,1.974999,1.675001,99999,99999,99999,99999
1594627852783,None,99999,99999,99999,99999,1.974999,1.675001,99999,99999,99999,99999
1594627852806,None,99999,99999,99999,99999,1.974999,1.675001,99999,99999,99999,99999
1594627852830,None,99999,99999,99999,99999,1.974999,1.675001,99999,99999,99999,99999
1594627852853,None,99999,99999,99999,99999,1.974999,1.675001,99999,99999,99999,99999
1594627852876,None,99999,99999,99999,99999,1.974999,1.675001,99999,99999,99999,99999
1594627852899,None,99999,99999,99999,99999,1.974999,1.675001,99999,99999,99999,99999
1594627852925,None,99999,99999,99999,99999,1.974999,1.675001,99999,99999,99999,99999
1594627852949,None,99999,99999,99999,99999,1.974999,1.675001,99999,99999,99999,99999
1594627852973,None,99999,99999,99999,99999,1.974999,1.675001,99999,99999,99999,99999
1594627852998,None,99999,99999,99999,99999,1.974999,1.675001,99999,99999,99999,99999
1594627853027,None,99999,99999,99999,99999,1.974999,1.675001,99999,99999,99999,99999
1594627853050,None,99999,99999,99999,99999,1.974999,1.675001,99999,99999,99999,99999
1594627853074,None,99999,99999,99999,99999,1.974999,1.675001,99999,99999,99999,99999
1594627853098,None,99999,99999,99999,99999,1.974999,1.675001,99999,99999,99999,99999
1594627853121,None,99999,99999,99999,99999,1.974999,1.675001,99999,99999,99999,99999
1594627853144,None,99999,99999,99999,99999,1.974999,1.675002,99999,99999,99999,99999
1594627853167,None,99999,99999,99999,99999,1.974998,1.675002,99999,99999,99999,99999
1594627853191,None,99999,99999,99999,99999,1.974998,1.675002,99999,99999,99999,99999
1594627853214,None,99999,99999,99999,99999,1.974998,1.675002,99999,99999,99999,99999
1594627853241,None,99999,99999,99999,99999,1.974998,1.675002,99999,99999,99999,99999
1594627853266,None,99999,99999,99999,99999,1.974998,1.675002,99999,99999,99999,99999
1594627853289,None,99999,99999,99999,99999,1.974998,1.675002,99999,99999,99999,99999
1594627853313,None,99999,99999,99999,99999,1.974998,1.675002,99999,99999,99999,99999
1594627853337,None,99999,99999,99999,99999,1.974998,1.675002,99999,99999,99999,99999
