stamp,key_id,long_dis,long_vel,lat_dis,lat_vel,left_line_dis,right_line_dis,ttc,Key_left_line_dis,Key_right_line_dis,CIPV_Speed
1594965817418,5aa55ff1-4ffb-47ef-b8cb-7b2ffdefc837,53.08867,2.540816,2.372572E-05,0,1.975,1.675,20.89434,2.025,1.725,0.1632133
1594965817453,5aa55ff1-4ffb-47ef-b8cb-7b2ffdefc837,53.0377,2.530836,2.371066E-05,0,1.975,1.675,20.95659,2.025,1.725,0.1676341
1594965817480,5aa55ff1-4ffb-47ef-b8cb-7b2ffdefc837,52.96007,2.528209,2.368756E-05,0,1.975,1.675,20.94766,2.025,1.725,0.162118
1594965817505,5aa55ff1-4ffb-47ef-b8cb-7b2ffdefc837,52.88642,2.526489,2.366993E-05,0,1.975,1.675,20.93278,2.025,1.725,0.1559605
1594965817532,5aa55ff1-4ffb-47ef-b8cb-7b2ffdefc837,52.78658,2.452254,2.364074E-05,0,1.975,1.675,21.52574,2.025,1.725,0.2201324
1594965817557,5aa55ff1-4ffb-47ef-b8cb-7b2ffdefc837,52.71023,2.466538,2.362006E-05,0,1.975,1.675,21.37012,2.025,1.725,0.1986477
1594965817580,5aa55ff1-4ffb-47ef-b8cb-7b2ffdefc837,52.63866,2.448395,2.359963E-05,0,1.975,1.675,21.49925,2.025,1.725,0.2098914
1594965817604,5aa55ff1-4ffb-47ef-b8cb-7b2ffdefc837,52.56533,2.444799,2.357843E-05,0,1.975,1.675,21.50088,2.025,1.725,0.2068889
1594965817628,5aa55ff1-4ffb-47ef-b8cb-7b2ffdefc837,52.46805,2.417152,2.355223E-05,0,1.975,1.675,21.70656,2.025,1.725,0.2262282
1594965817651,5aa55ff1-4ffb-47ef-b8cb-7b2ffdefc837,52.37199,2.374495,2.352471E-05,0,1.975,1.675,22.05606,2.025,1.725,0.2612668
1594965817676,5aa55ff1-4ffb-47ef-b8cb-7b2ffdefc837,52.30031,2.371104,2.350423E-05,0,1.975,1.675,22.05736,2.025,1.725,0.2593516
1594965817699,5aa55ff1-4ffb-47ef-b8cb-7b2ffdefc837,52.20506,2.399085,2.347707E-05,0,1.975,1.675,21.7604,2.025,1.725,0.2247918
1594965817724,5aa55ff1-4ffb-47ef-b8cb-7b2ffdefc837,52.11082,2.30381,2.345221E-05,0,1.975,1.675,22.61941,2.025,1.725,0.3140117
1594965817747,5aa55ff1-4ffb-47ef-b8cb-7b2ffdefc837,52.06361,2.344775,2.343882E-05,0,1.975,1.675,22.2041,2.025,1.725,0.2702051
1594965817770,5aa55ff1-4ffb-47ef-b8cb-7b2ffdefc837,51.9706,2.309174,2.341264E-05,0,1.975,1.675,22.50615,2.025,1.725,0.3004749
1594965817794,5aa55ff1-4ffb-47ef-b8cb-7b2ffdefc837,51.8774,2.349819,2.338638E-05,0,1.975,1.675,22.07719,2.025,1.725,0.2549466
1594965817818,5aa55ff1-4ffb-47ef-b8cb-7b2ffdefc837,51.78526,2.25062,2.336246E-05,0,1.975,1.675,23.00933,2.025,1.725,0.3496846
1594965817842,5aa55ff1-4ffb-47ef-b8cb-7b2ffdefc837,51.69354,2.328066,2.333685E-05,0,1.975,1.675,22.2045,2.025,1.725,0.2681772
1594965817865,5aa55ff1-4ffb-47ef-b8cb-7b2ffdefc837,51.60215,2.238848,2.331139E-05,0,1.975,1.675,23.04853,2.025,1.725,0.3537079
1594965817890,5aa55ff1-4ffb-47ef-b8cb-7b2ffdefc837,51.53415,2.219415,2.329254E-05,0,1.975,1.675,23.2197,2.025,1.725,0.3706066
1594965817914,5aa55ff1-4ffb-47ef-b8cb-7b2ffdefc837,51.44381,2.296667,2.326754E-05,0,1.975,1.675,22.39933,2.025,1.725,0.2902625
1594965817939,5aa55ff1-4ffb-47ef-b8cb-7b2ffdefc837,51.35378,2.200691,2.324269E-05,0,1.975,1.675,23.3353,2.025,1.725,0.3834514
1594965817963,5aa55ff1-4ffb-47ef-b8cb-7b2ffdefc837,51.28678,2.198268,2.322241E-05,0,1.975,1.675,23.33054,2.025,1.725,0.383967
1594965817987,5aa55ff1-4ffb-47ef-b8cb-7b2ffdefc837,51.19741,2.256585,2.319598E-05,0,1.975,1.675,22.68801,2.025,1.725,0.3233253
