stamp,key_id,long_dis,long_vel,lat_dis,lat_vel,left_line_dis,right_line_dis,ttc,Key_left_line_dis,Key_right_line_dis,CIPV_Speed
1594880950955,None,99999,99999,99999,99999,1.875,1.775,99999,99999,99999,99999
1594880950981,None,99999,99999,99999,99999,1.875,1.775,99999,99999,99999,99999
1594880951005,None,99999,99999,99999,99999,1.875,1.775,99999,99999,99999,99999
1594880951029,None,99999,99999,99999,99999,1.875,1.775,99999,99999,99999,99999
1594880951054,None,99999,99999,99999,99999,1.875,1.775,99999,99999,99999,99999
1594880951078,None,99999,99999,99999,99999,1.875,1.775,99999,99999,99999,99999
1594880951104,None,99999,99999,99999,99999,1.875,1.775,99999,99999,99999,99999
1594880951128,None,99999,99999,99999,99999,1.875,1.775,99999,99999,99999,99999
1594880951155,None,99999,99999,99999,99999,1.875,1.775,99999,99999,99999,99999
1594880951180,None,99999,99999,99999,99999,1.875,1.775,99999,99999,99999,99999
1594880951205,None,99999,99999,99999,99999,1.875,1.775,99999,99999,99999,99999
1594880951230,None,99999,99999,99999,99999,1.875,1.775,99999,99999,99999,99999
1594880951254,None,99999,99999,99999,99999,1.875,1.775,99999,99999,99999,99999
1594880951278,None,99999,99999,99999,99999,1.875,1.775,99999,99999,99999,99999
1594880951303,None,99999,99999,99999,99999,1.875,1.775,99999,99999,99999,99999
1594880951329,None,99999,99999,99999,99999,1.875,1.775,99999,99999,99999,99999
1594880951361,None,99999,99999,99999,99999,1.875,1.775,99999,99999,99999,99999
1594880951390,None,99999,99999,99999,99999,1.875,1.775,99999,99999,99999,99999
1594880951416,None,99999,99999,99999,99999,1.875,1.775,99999,99999,99999,99999
1594880951443,None,99999,99999,99999,99999,1.875,1.775,99999,99999,99999,99999
1594880951468,None,99999,99999,99999,99999,1.875,1.775,99999,99999,99999,99999
1594880951492,None,99999,99999,99999,99999,1.875,1.775,99999,99999,99999,99999
1594880951518,None,99999,99999,99999,99999,1.875,1.775,99999,99999,99999,99999
1594880951544,None,99999,99999,99999,99999,1.875,1.775,99999,99999,99999,99999
1594880951568,None,99999,99999,99999,99999,1.875,1.775,99999,99999,99999,99999
1594880951596,None,99999,99999,99999,99999,1.875,1.775,99999,99999,99999,99999
1594880951620,None,99999,99999,99999,99999,1.875,1.775,99999,99999,99999,99999
1594880951645,None,99999,99999,99999,99999,1.875,1.775,99999,99999,99999,99999
1594880951670,None,99999,99999,99999,99999,1.875,1.775,99999,99999,99999,99999
1594880951694,None,99999,99999,99999,99999,1.875,1.775,99999,99999,99999,99999
1594880951743,None,99999,99999,99999,99999,1.875,1.775,99999,99999,99999,99999
1594880951768,None,99999,99999,99999,99999,1.875,1.775,99999,99999,99999,99999
1594880951794,None,99999,99999,99999,99999,1.875,1.775,99999,99999,99999,99999
1594880951819,None,99999,99999,99999,99999,1.875,1.775,99999,99999,99999,99999
