stamp,key_id,long_dis,long_vel,lat_dis,lat_vel,left_line_dis,right_line_dis,ttc,Key_left_line_dis,Key_right_line_dis,CIPV_Speed
1594715805490,None,99999,99999,99999,99999,2.089258,1.560742,99999,99999,99999,99999
1594715805514,None,99999,99999,99999,99999,2.089258,1.560742,99999,99999,99999,99999
1594715805539,None,99999,99999,99999,99999,2.089258,1.560742,99999,99999,99999,99999
1594715805563,None,99999,99999,99999,99999,2.089258,1.560742,99999,99999,99999,99999
1594715805587,None,99999,99999,99999,99999,2.089258,1.560742,99999,99999,99999,99999
1594715805609,None,99999,99999,99999,99999,2.089258,1.560742,99999,99999,99999,99999
1594715805633,None,99999,99999,99999,99999,2.089258,1.560742,99999,99999,99999,99999
1594715805657,None,99999,99999,99999,99999,2.089257,1.560742,99999,99999,99999,99999
1594715805682,None,99999,99999,99999,99999,2.089257,1.560742,99999,99999,99999,99999
1594715805708,None,99999,99999,99999,99999,2.089257,1.560742,99999,99999,99999,99999
1594715805731,None,99999,99999,99999,99999,2.089257,1.560742,99999,99999,99999,99999
1594715805755,None,99999,99999,99999,99999,2.089257,1.560742,99999,99999,99999,99999
1594715805778,None,99999,99999,99999,99999,2.089257,1.560742,99999,99999,99999,99999
1594715805803,None,99999,99999,99999,99999,2.089257,1.560742,99999,99999,99999,99999
1594715805826,None,99999,99999,99999,99999,2.089257,1.560742,99999,99999,99999,99999
1594715805850,None,99999,99999,99999,99999,2.089257,1.560742,99999,99999,99999,99999
1594715805874,None,99999,99999,99999,99999,2.089257,1.560743,99999,99999,99999,99999
1594715805898,None,99999,99999,99999,99999,2.089257,1.560743,99999,99999,99999,99999
1594715805924,None,99999,99999,99999,99999,2.089257,1.560743,99999,99999,99999,99999
1594715805947,None,99999,99999,99999,99999,2.089257,1.560743,99999,99999,99999,99999
1594715805973,None,99999,99999,99999,99999,2.089257,1.560743,99999,99999,99999,99999
1594715805997,None,99999,99999,99999,99999,2.089257,1.560743,99999,99999,99999,99999
1594715806023,None,99999,99999,99999,99999,2.089257,1.560743,99999,99999,99999,99999
1594715806049,None,99999,99999,99999,99999,2.089257,1.560743,99999,99999,99999,99999
1594715806075,None,99999,99999,99999,99999,2.089257,1.560743,99999,99999,99999,99999
1594715806098,None,99999,99999,99999,99999,2.089257,1.560743,99999,99999,99999,99999
1594715806122,None,99999,99999,99999,99999,2.089257,1.560743,99999,99999,99999,99999
1594715806147,None,99999,99999,99999,99999,2.089257,1.560743,99999,99999,99999,99999
1594715806173,None,99999,99999,99999,99999,2.089257,1.560743,99999,99999,99999,99999
1594715806197,None,99999,99999,99999,99999,2.089257,1.560743,99999,99999,99999,99999
1594715806221,None,99999,99999,99999,99999,2.089257,1.560743,99999,99999,99999,99999
1594715806246,None,99999,99999,99999,99999,2.089257,1.560743,99999,99999,99999,99999
1594715806292,None,99999,99999,99999,99999,2.089257,1.560743,99999,99999,99999,99999
1594715806318,None,99999,99999,99999,99999,2.089257,1.560743,99999,99999,99999,99999
1594715806341,None,99999,99999,99999,99999,2.089257,1.560743,99999,99999,99999,99999
1594715806366,None,99999,99999,99999,99999,2.089257,1.560743,99999,99999,99999,99999
1594715806393,None,99999,99999,99999,99999,2.089257,1.560743,99999,99999,99999,99999
1594715806418,None,99999,99999,99999,99999,2.089257,1.560743,99999,99999,99999,99999
1594715806443,None,99999,99999,99999,99999,2.089257,1.560743,99999,99999,99999,99999
1594715806469,None,99999,99999,99999,99999,2.089257,1.560743,99999,99999,99999,99999
1594715806493,None,99999,99999,99999,99999,2.089257,1.560743,99999,99999,99999,99999
1594715806517,None,99999,99999,99999,99999,2.089257,1.560743,99999,99999,99999,99999
1594715806562,None,99999,99999,99999,99999,2.089257,1.560743,99999,99999,99999,99999
1594715806586,None,99999,99999,99999,99999,2.089257,1.560743,99999,99999,99999,99999
1594715806609,None,99999,99999,99999,99999,2.089257,1.560743,99999,99999,99999,99999
1594715806635,None,99999,99999,99999,99999,2.089257,1.560743,99999,99999,99999,99999
1594715806659,None,99999,99999,99999,99999,2.089257,1.560743,99999,99999,99999,99999
1594715806683,None,99999,99999,99999,99999,2.089257,1.560743,99999,99999,99999,99999
1594715806709,None,99999,99999,99999,99999,2.089257,1.560743,99999,99999,99999,99999
1594715806733,None,99999,99999,99999,99999,2.089257,1.560743,99999,99999,99999,99999
1594715806756,None,99999,99999,99999,99999,2.089257,1.560743,99999,99999,99999,99999
