stamp,key_id,long_dis,long_vel,lat_dis,lat_vel,left_line_dis,right_line_dis,ttc,Key_left_line_dis,Key_right_line_dis,CIPV_Speed
1594696629365,None,99999,99999,99999,99999,2.050079,1.749921,99999,99999,99999,99999
1594696629389,None,99999,99999,99999,99999,2.05014,1.74986,99999,99999,99999,99999
1594696629414,None,99999,99999,99999,99999,2.050176,1.749824,99999,99999,99999,99999
1594696629438,None,99999,99999,99999,99999,2.050152,1.749848,99999,99999,99999,99999
1594696629461,None,99999,99999,99999,99999,2.050084,1.749916,99999,99999,99999,99999
1594696629487,None,99999,99999,99999,99999,2.049968,1.750031,99999,99999,99999,99999
1594696629510,None,99999,99999,99999,99999,2.049803,1.750197,99999,99999,99999,99999
1594696629534,None,99999,99999,99999,99999,2.049453,1.750547,99999,99999,99999,99999
1594696629559,None,99999,99999,99999,99999,2.049308,1.750692,99999,99999,99999,99999
1594696629584,None,99999,99999,99999,99999,2.048969,1.751031,99999,99999,99999,99999
1594696629651,None,99999,99999,99999,99999,2.048563,1.751437,99999,99999,99999,99999
1594696629676,None,99999,99999,99999,99999,2.048086,1.751914,99999,99999,99999,99999
1594696629699,None,99999,99999,99999,99999,2.047533,1.752467,99999,99999,99999,99999
1594696629723,None,99999,99999,99999,99999,2.046902,1.753098,99999,99999,99999,99999
1594696629747,None,99999,99999,99999,99999,2.046189,1.753811,99999,99999,99999,99999
1594696629772,None,99999,99999,99999,99999,2.045391,1.754609,99999,99999,99999,99999
1594696629796,None,99999,99999,99999,99999,2.044505,1.755495,99999,99999,99999,99999
1594696629820,None,99999,99999,99999,99999,2.043529,1.756471,99999,99999,99999,99999
1594696629844,None,99999,99999,99999,99999,2.041881,1.758119,99999,99999,99999,99999
1594696629868,None,99999,99999,99999,99999,2.040653,1.759347,99999,99999,99999,99999
1594696629935,None,99999,99999,99999,99999,2.039998,1.760002,99999,99999,99999,99999
1594696629960,None,99999,99999,99999,99999,2.0386,1.7614,99999,99999,99999,99999
1594696629985,None,99999,99999,99999,99999,2.03708,1.76292,99999,99999,99999,99999
1594696630010,None,99999,99999,99999,99999,2.035432,1.764568,99999,99999,99999,99999
1594696630034,None,99999,99999,99999,99999,2.033651,1.766349,99999,99999,99999,99999
1594696630058,None,99999,99999,99999,99999,2.031729,1.768271,99999,99999,99999,99999
1594696630082,None,99999,99999,99999,99999,2.029664,1.770336,99999,99999,99999,99999
1594696630106,None,99999,99999,99999,99999,2.02745,1.77255,99999,99999,99999,99999
